ord,kategori,vikt
riskabel,aggressiv,1.0
sabotera,aggressiv,2.0
sammansvärjning,aggressiv,1.8
sanktion,aggressiv,1.2
skandal,aggressiv,1.8
skoningslös,aggressiv,2.2
skrämma,aggressiv,1.8
skylla på,aggressiv,1.0
slåss,aggressiv,1.5
smäda,aggressiv,1.8
sociopat,aggressiv,2.5
splittra,aggressiv,1.5
straff,aggressiv,1.5
strid,aggressiv,1.5
sträng,aggressiv,1.0
styra,aggressiv,0.8
störta,aggressiv,1.5
svår,aggressiv,0.8
söndra,aggressiv,1.5
ta över,aggressiv,1.2
terrorisera,aggressiv,2.5
tillrättavisa,aggressiv,0.8
total,aggressiv,1.0
trakasseri,aggressiv,1.5
tuff,aggressiv,1.0
tvinga,aggressiv,1.5
tvist,aggressiv,0.8
tyranni,aggressiv,2.2
ultimatum,aggressiv,1.5
uppror,aggressiv,1.5
utesluta,aggressiv,1.0
utmana,aggressiv,1.0
utplåna,aggressiv,2.5
utpressning,aggressiv,1.8
vapen,aggressiv,1.8
vedergällning,aggressiv,1.8
vinna över,aggressiv,1.0
våld,aggressiv,2.5
övergrepp,aggressiv,1.5
överhängande,aggressiv,1.2
övermakt,aggressiv,1.5
allians,diplomatisk,1.2
ambassad,diplomatisk,1.2
ambition,diplomatisk,1.0
anpassa,diplomatisk,0.8
ansvarsfull,diplomatisk,1.0
arbetsgrupp,diplomatisk,0.8
assistera,diplomatisk,1.0
avsikt,diplomatisk,0.8
avtal,diplomatisk,1.0
balans,diplomatisk,1.0
bekräfta,diplomatisk,0.8
berömma,diplomatisk,0.8
bistå,diplomatisk,1.0
broderskap,diplomatisk,1.5
bygga upp,diplomatisk,0.8
delegation,diplomatisk,1.0
demokrati,diplomatisk,1.2
dialog,diplomatisk,1.0
diskutera,diplomatisk,0.8
enhet,diplomatisk,1.2
erkänna,diplomatisk,0.8
etik,diplomatisk,1.0
expert,diplomatisk,1.0
flexibel,diplomatisk,1.0
folkrätt,diplomatisk,1.5
framåtblickande,diplomatisk,1.0
fred,diplomatisk,1.8
främja,diplomatisk,0.8
färdplan,diplomatisk,1.0
förbättra,diplomatisk,0.8
förhandla,diplomatisk,1.0
förhandlare,diplomatisk,1.0
försiktig,diplomatisk,1.0
förståelse,diplomatisk,1.2
försäkran,diplomatisk,1.0
förtroende,diplomatisk,1.0
garanti,diplomatisk,1.0
gemenskap,diplomatisk,1.0
goda avsikter,diplomatisk,1.2
harmoni,diplomatisk,1.2
hederskodex,diplomatisk,1.2
hjälpa,diplomatisk,1.0
hoppfull,diplomatisk,1.0
ideal,diplomatisk,1.0
integritet,diplomatisk,1.0
intention,diplomatisk,0.8
jämlikhet,diplomatisk,1.0
kanaler,diplomatisk,0.8
klok,diplomatisk,1.0
kommitté,diplomatisk,1.0
kompromiss,diplomatisk,1.0
konferens,diplomatisk,1.0
konsekvent,diplomatisk,1.0
konsensus,diplomatisk,1.2
konstruktiv,diplomatisk,1.2
konsulat,diplomatisk,1.2
konsultera,diplomatisk,1.0
kontakter,diplomatisk,0.8
konvention,diplomatisk,1.5
laglighet,diplomatisk,1.0
lyssna,diplomatisk,1.2
löfte,diplomatisk,1.0
lösningsorienterad,diplomatisk,1.2
medlare,diplomatisk,1.2
medling,diplomatisk,1.5
modernisera,diplomatisk,0.8
moral,diplomatisk,1.0
mänskliga rättigheter,diplomatisk,1.5
mål,diplomatisk,0.8
möjliggöra,diplomatisk,0.8
neutral,diplomatisk,1.0
nämnd,diplomatisk,1.0
nätverk,diplomatisk,0.8
observatör,diplomatisk,0.8
optimistisk,diplomatisk,1.0
partnerskap,diplomatisk,1.2
plikt,diplomatisk,0.8
positiv,diplomatisk,1.0
pragmatisk,diplomatisk,1.2
principer,diplomatisk,1.0
principfast,diplomatisk,1.0
pålitlig,diplomatisk,1.0
realistisk,diplomatisk,1.0
reformera,diplomatisk,1.0
relationer,diplomatisk,1.0
representant,diplomatisk,1.0
representation,diplomatisk,1.0
resonera,diplomatisk,0.8
respekt,diplomatisk,1.2
respektera,diplomatisk,1.0
rättvisa,diplomatisk,1.0
råd,diplomatisk,1.0
rådgivare,diplomatisk,1.0
rådgöra,diplomatisk,1.0
samarbeta,diplomatisk,1.0
samförstånd,diplomatisk,1.2
samtala,diplomatisk,0.8
seminarium,diplomatisk,0.8
självbestämmande,diplomatisk,1.5
skyldig,diplomatisk,0.8
solidaritet,diplomatisk,1.5
specialist,diplomatisk,1.0
stabilitet,diplomatisk,1.5
strategisk,diplomatisk,1.0
strävan,diplomatisk,0.8
stärka,diplomatisk,0.8
ståndaktig,diplomatisk,1.0
stödja,diplomatisk,1.0
suveränitet,diplomatisk,1.5
syfte,diplomatisk,0.8
säkerhet,diplomatisk,1.2
sändebud,diplomatisk,1.5
taktisk,diplomatisk,1.0
tillmötesgående,diplomatisk,1.0
tillvägagångssätt,diplomatisk,0.5
toppmöte,diplomatisk,1.2
traktat,diplomatisk,1.5
transparens,diplomatisk,1.0
trovärdig,diplomatisk,1.2
tålmodig,diplomatisk,1.0
underlätta,diplomatisk,0.8
uppriktighet,diplomatisk,1.0
uppskatta,diplomatisk,1.0
uthållig,diplomatisk,1.0
utskott,diplomatisk,1.0
utveckla,diplomatisk,0.8
varsam,diplomatisk,1.0
vilja,diplomatisk,0.8
vis,diplomatisk,1.0
visionär,diplomatisk,1.2
välvilja,diplomatisk,1.2
vänskap,diplomatisk,1.5
värdera,diplomatisk,0.8
värderingar,diplomatisk,1.0
workshop,diplomatisk,0.8
ärlighet,diplomatisk,1.0
åtagande,diplomatisk,1.0
ömsesidighet,diplomatisk,1.2
önskan,diplomatisk,0.5
öppenhet,diplomatisk,1.0
överenskommelse,diplomatisk,1.0
acceptans,emotionell,1.0
agiterad,emotionell,1.0
ambition,emotionell,1.0
ambivalens,emotionell,0.8
apati,emotionell,1.0
autenticitet,emotionell,1.0
avsky,emotionell,1.5
avund,emotionell,1.0
balans,emotionell,1.0
begär,emotionell,1.0
belåtenhet,emotionell,1.0
beslutsångest,emotionell,1.0
besvikelse,emotionell,1.0
beundran,emotionell,1.0
bitterhet,emotionell,1.2
chock,emotionell,1.0
civilkurage,emotionell,1.5
deprimerad,emotionell,1.5
distans,emotionell,0.8
drivkraft,emotionell,1.0
dyster,emotionell,1.0
empati,emotionell,1.5
engagemang,emotionell,1.0
ensamhet,emotionell,1.0
entusiasm,emotionell,1.0
eufori,emotionell,1.2
extas,emotionell,1.2
fasa,emotionell,1.5
feghet,emotionell,1.2
frid,emotionell,1.0
frustration,emotionell,1.0
främlingskap,emotionell,1.0
förakt,emotionell,1.5
förlåtelse,emotionell,1.0
förnedring,emotionell,1.2
förräderi,emotionell,1.5
förtröstan,emotionell,1.0
förtvivlan,emotionell,1.5
förvirring,emotionell,0.8
förväntan,emotionell,0.8
förvåning,emotionell,0.8
förälskelse,emotionell,1.0
gemenskap,emotionell,1.0
gladlynt,emotionell,1.0
glädje,emotionell,1.0
harmoni,emotionell,1.0
hat,emotionell,1.5
hjärta,emotionell,1.2
hopp,emotionell,1.0
hoppfullhet,emotionell,1.0
hopplöshet,emotionell,1.2
hämndlystnad,emotionell,1.5
hänförelse,emotionell,1.2
häpenhet,emotionell,0.8
ilska,emotionell,1.0
inspiration,emotionell,1.0
intimitet,emotionell,1.0
intresse,emotionell,0.8
irritation,emotionell,0.8
isolering,emotionell,1.0
iver,emotionell,1.0
kaos,emotionell,1.0
kreativitet,emotionell,0.8
kris,emotionell,1.0
kränkning,emotionell,1.2
känslighet,emotionell,1.0
kärlek,emotionell,1.2
leda,emotionell,1.0
lidande,emotionell,1.2
likgiltighet,emotionell,1.0
lugn,emotionell,1.0
lust,emotionell,0.8
lycka,emotionell,1.0
lycklig,emotionell,1.0
läkning,emotionell,1.0
längtan,emotionell,1.0
lättnad,emotionell,1.0
medkänsla,emotionell,1.2
medlidande,emotionell,1.2
medvetenhet,emotionell,1.0
melankoli,emotionell,1.0
meningslöshet,emotionell,1.2
mindfulness,emotionell,1.0
misstro,emotionell,1.0
mod,emotionell,1.2
motivation,emotionell,1.0
munter,emotionell,1.0
nedstämd,emotionell,1.2
nervositet,emotionell,0.8
njutning,emotionell,1.0
nostalgi,emotionell,1.0
nyfikenhet,emotionell,0.8
närhet,emotionell,1.0
närvaro,emotionell,1.0
nöjdhet,emotionell,1.0
obalans,emotionell,1.0
optimistisk,emotionell,1.0
oro,emotionell,1.0
orolig,emotionell,1.0
osäkerhet,emotionell,1.0
otrygghet,emotionell,1.0
otålig,emotionell,0.8
panik,emotionell,1.5
passion,emotionell,1.2
pessimistisk,emotionell,1.0
press,emotionell,0.8
rastlös,emotionell,0.8
resiliens,emotionell,1.0
respekt,emotionell,1.0
romantik,emotionell,1.0
rädsla,emotionell,1.0
saknad,emotionell,1.0
sinnesro,emotionell,1.0
självförtroende,emotionell,1.0
självinsikt,emotionell,1.0
självkänsla,emotionell,1.0
skam,emotionell,1.2
skräck,emotionell,1.5
skuld,emotionell,1.2
smärta,emotionell,1.2
sorg,emotionell,1.0
sorgbearbetning,emotionell,1.0
spänning,emotionell,0.8
stark känsla,emotionell,1.5
stolthet,emotionell,1.0
stress,emotionell,1.0
styrka,emotionell,1.0
svaghet,emotionell,1.0
svartsjuka,emotionell,1.0
svekt,emotionell,1.5
sympati,emotionell,1.2
sårbarhet,emotionell,1.0
tacksamhet,emotionell,1.0
tapperhet,emotionell,1.2
tillfredsställelse,emotionell,1.0
tillhörighet,emotionell,1.0
tillit,emotionell,1.0
tomhet,emotionell,1.0
trauma,emotionell,1.5
tristess,emotionell,0.8
tro,emotionell,1.0
trygghet,emotionell,1.0
turbulens,emotionell,1.0
tvekan,emotionell,0.8
tvivel,emotionell,0.8
tålamod,emotionell,1.0
upprörd,emotionell,1.0
uppskattning,emotionell,1.0
utanförskap,emotionell,1.2
utbränd,emotionell,1.5
uthållighet,emotionell,1.0
utmattad,emotionell,1.2
välbehag,emotionell,1.0
vänskap,emotionell,1.0
värdighet,emotionell,1.0
äckel,emotionell,1.5
ärlighet,emotionell,1.0
ånger,emotionell,1.0
ångest,emotionell,1.2
återhämtning,emotionell,1.0
åtrå,emotionell,1.0
ömhet,emotionell,1.2
öppenhet,emotionell,1.0
överraskning,emotionell,0.8
överväldigad,emotionell,1.0
alternativmedia,populistisk,1.8
anarki,populistisk,1.5
anti-etablissemang,populistisk,2.0
anti-intellektuell,populistisk,2.0
anti-vetenskap,populistisk,2.0
antingen eller,populistisk,1.5
arbetarklass,populistisk,1.2
autentisk,populistisk,1.2
autonomi,populistisk,0.8
beslutsamhet,populistisk,1.0
bevara,populistisk,0.8
bidrag,populistisk,0.8
byråkrater,populistisk,1.5
censurerad,populistisk,1.8
cynism,populistisk,1.5
demagog,populistisk,2.5
direkt,populistisk,0.8
direktdemokrati,populistisk,1.5
eliten,populistisk,2.0
en av oss,populistisk,1.5
enkelt,populistisk,0.8
etablissemanget,populistisk,2.0
etik,populistisk,1.0
experter,populistisk,1.5
fake news,populistisk,2.5
fiende,populistisk,1.8
flaggan,populistisk,1.2
folket,populistisk,1.5
folkets röst,populistisk,1.8
folklig,populistisk,1.2
folkomröstning,populistisk,1.5
frihet,populistisk,0.8
frustration,populistisk,1.0
främling,populistisk,1.5
fästning europa,populistisk,2.0
förenkling,populistisk,1.2
förföljd,populistisk,1.5
förr i tiden,populistisk,1.0
förräderi,populistisk,2.5
försvara,populistisk,1.0
förtryck,populistisk,1.8
förändring,populistisk,0.8
gemenskap,populistisk,0.8
generalisering,populistisk,1.2
genuin,populistisk,1.2
globalister,populistisk,2.0
glömda,populistisk,1.5
gränser,populistisk,1.2
gränskontroll,populistisk,1.5
gräsrotsrörelse,populistisk,1.2
guldålder,populistisk,1.2
handelshinder,populistisk,1.2
handlingskraft,populistisk,1.0
hjälte,populistisk,1.8
hot,populistisk,1.5
hårdare tag,populistisk,1.8
identitet,populistisk,1.0
ignorerade,populistisk,1.5
ilska,populistisk,1.0
inre fiende,populistisk,1.8
internationalism,populistisk,1.5
invandring,populistisk,1.0
isolering,populistisk,1.0
jordnära,populistisk,1.0
kampanj,populistisk,0.5
kaos,populistisk,1.2
klarspråk,populistisk,1.0
kollaps,populistisk,1.5
konspiration,populistisk,2.5
korrupt,populistisk,1.5
kris,populistisk,1.0
kulturell hegemoni,populistisk,1.8
kulturkrig,populistisk,2.0
kyrkan,populistisk,1.0
kärnfamilj,populistisk,1.2
lag och ordning,populistisk,1.5
landsbygd,populistisk,1.0
lyssna inte,populistisk,1.5
lögnare,populistisk,2.0
majoritet,populistisk,0.5
makten,populistisk,1.0
manifestation,populistisk,0.8
martyr,populistisk,1.8
media,populistisk,1.5
missnöje,populistisk,1.0
misstro,populistisk,1.5
moral,populistisk,1.0
motstånd,populistisk,1.0
mur,populistisk,1.8
myter,populistisk,1.5
möte,populistisk,0.5
nationalism,populistisk,1.5
nationell stolthet,populistisk,1.5
nationen,populistisk,1.0
nolltolerans,populistisk,1.5
nostalgi,populistisk,1.0
oberoende,populistisk,0.8
offerkofta,populistisk,1.8
opposition,populistisk,0.8
ordning och reda,populistisk,1.2
oro,populistisk,0.8
orättvist,populistisk,1.5
osäkerhet,populistisk,0.8
paroller,populistisk,1.0
patriotism,populistisk,1.2
peka ut,populistisk,0.8
pk-eliten,populistisk,2.5
politik för alla,populistisk,1.2
politisk korrekthet,populistisk,2.0
proletär,populistisk,1.5
propaganda,populistisk,1.8
protektionism,populistisk,1.5
protest,populistisk,1.0
religion,populistisk,1.0
retorik,populistisk,0.5
revolution,populistisk,1.5
rädda,populistisk,1.0
räddare,populistisk,1.8
rädsla,populistisk,1.2
rättvisa,populistisk,0.8
rörelse,populistisk,1.0
sammanbrott,populistisk,1.5
sann,populistisk,1.0
sanningssägare,populistisk,1.5
självständighet,populistisk,0.8
skattetryck,populistisk,1.0
skepticism,populistisk,1.2
skydda,populistisk,0.8
skylla på,populistisk,0.8
slagord,populistisk,1.0
slöseri,populistisk,1.2
småstad,populistisk,1.0
stark ledare,populistisk,1.5
stolthet,populistisk,1.0
straff,populistisk,1.0
stängsel,populistisk,1.5
sunt förnuft,populistisk,1.0
suveränitet,populistisk,1.5
svartvitt,populistisk,1.5
sviker,populistisk,1.8
symboler,populistisk,1.0
syndabock,populistisk,1.5
systemkollaps,populistisk,1.8
ta tillbaka,populistisk,1.5
tradition,populistisk,1.0
tullar,populistisk,1.2
tyst majoritet,populistisk,1.2
tystad,populistisk,1.5
uppror,populistisk,1.2
utvisa,populistisk,1.8
vanligt folk,populistisk,1.5
vi mot dem,populistisk,2.0
visselblåsare,populistisk,1.2
välfärd,populistisk,0.5
värdegrund,populistisk,0.8
yttrandefrihet,populistisk,1.0
yttre hot,populistisk,1.5
äkta,populistisk,1.2
ärlig,populistisk,1.0
åsiktskorridor,populistisk,2.0
återställa,populistisk,1.5
återvandring,populistisk,2.0
abstrakt,saklig,1.0
ackreditering,saklig,1.0
analys,saklig,1.0
argument,saklig,0.5
auktoritet,saklig,1.0
balanserad,saklig,0.8
bedömning,saklig,0.8
beräkning,saklig,1.0
beskrivning,saklig,0.8
bevis,saklig,1.0
bevisbar,saklig,1.0
certifiering,saklig,1.0
data,saklig,1.0
definition,saklig,1.0
demonstrerande,saklig,0.8
detaljerad,saklig,0.8
empirisk,saklig,1.0
essens,saklig,1.0
estimat,saklig,1.0
exakthet,saklig,1.0
experiment,saklig,1.0
expertis,saklig,1.0
fakta,saklig,1.0
fallstudie,saklig,1.0
falsifierbar,saklig,1.0
forskning,saklig,1.0
fri från värderingar,saklig,1.2
fullständig,saklig,0.8
fynd,saklig,0.8
förklarande,saklig,0.8
förnuft,saklig,1.0
förändring,saklig,0.5
granskning,saklig,1.0
handledning,saklig,0.8
heltäckande,saklig,0.8
hypotes,saklig,1.0
illustrerande,saklig,0.8
information,saklig,0.8
informativ,saklig,0.8
inspektion,saklig,1.0
instruktion,saklig,0.8
instruktiv,saklig,0.8
jämförelse,saklig,0.8
kalkyl,saklig,1.0
kategorisering,saklig,1.0
kausalitet,saklig,1.2
klassificering,saklig,1.0
kompetens,saklig,1.0
komplett,saklig,0.8
koncentrat,saklig,1.0
konkret,saklig,0.8
kontrast,saklig,0.8
kontroll,saklig,0.8
kontrollera,saklig,0.8
korrelation,saklig,1.0
kvalitetssäkring,saklig,1.0
källa,saklig,0.8
kärna,saklig,1.0
lagar,saklig,1.0
likhet,saklig,0.5
logik,saklig,1.0
lärorik,saklig,0.8
materiell,saklig,0.8
modell,saklig,0.8
mätning,saklig,0.8
mångsidig,saklig,0.8
mönster,saklig,0.8
neutral,saklig,1.0
noggrannhet,saklig,1.0
nyanserad,saklig,0.8
oberoende,saklig,1.0
objektiv,saklig,1.0
observation,saklig,0.8
offentlig,saklig,0.5
ofärgad,saklig,1.0
opartisk,saklig,1.0
ordning,saklig,0.5
orsakssamband,saklig,1.2
poäng,saklig,0.8
precision,saklig,1.0
principer,saklig,0.8
prognos,saklig,1.0
pålitlighet,saklig,1.0
påtaglig,saklig,0.8
rapport,saklig,0.8
rationalitet,saklig,1.0
regler,saklig,0.8
relevans,saklig,1.0
reliabilitet,saklig,1.0
reproducerbar,saklig,1.0
resonemang,saklig,0.8
resultat,saklig,0.8
revision,saklig,1.0
riktlinjer,saklig,0.8
samband,saklig,0.8
siffror,saklig,0.8
signifikans,saklig,1.0
simulering,saklig,1.0
självständig,saklig,0.8
skillnad,saklig,0.8
slutsats,saklig,0.8
specifik,saklig,0.8
standarder,saklig,0.8
statistik,saklig,1.0
steg-för-steg,saklig,0.8
studie,saklig,1.0
sunt förnuft,saklig,0.8
systematisering,saklig,1.0
teori,saklig,1.0
tillgänglig,saklig,0.5
tillsyn,saklig,1.0
transparent,saklig,0.8
trend,saklig,0.8
trovärdighet,saklig,1.0
tydliggörande,saklig,0.8
tydlighet,saklig,0.8
undersökning,saklig,0.8
upplysande,saklig,0.8
uppskattning,saklig,1.0
upptäckt,saklig,1.0
uttömmande,saklig,1.0
utveckling,saklig,0.5
utvärdering,saklig,1.0
validitet,saklig,1.0
verifiera,saklig,1.0
vetenskap,saklig,1.2
vägledande,saklig,0.8
värdeneutral,saklig,1.2
öppen,saklig,0.5
